Gene1,Gene2,Count
adeT2-BAC0479,csuB,1
adeT2-BAC0479,tssA,1
adeT2-BAC0479,golT-BAC0183,1
adeT2-BAC0479,blaOXA-66,1
adeT2-BAC0479,pilF,1
adeT2-BAC0479,gspH,1
adeT2-BAC0479,aadA1,1
adeT2-BAC0479,pgi,1
adeT2-BAC0479,adeL,1
adeT2-BAC0479,adeF,1
adeT2-BAC0479,modA-BAC0609,1
adeT2-BAC0479,ADEK,1
adeT2-BAC0479,ant(3'')-Ia_1,1
adeT2-BAC0479,LpsB,1
adeT2-BAC0479,(Bla)blaOXA-66,1
adeT2-BAC0479,czcA-BAC0119,1
adeT2-BAC0479,oxyRkp-BAC0536,1
adeT2-BAC0479,ADC,1
adeT2-BAC0479,aacA16,1
adeT2-BAC0479,(MLS)mph(E),1
adeT2-BAC0479,basA,1
adeT2-BAC0479,csuA,1
adeT2-BAC0479,ACICU_RS00475,1
adeT2-BAC0479,armA_1,1
adeT2-BAC0479,abaF,1
adeT2-BAC0479,pseI,1
adeT2-BAC0479,blaTEM-12,1
adeT2-BAC0479,fimV,1
adeT2-BAC0479,TEM-12,1
adeT2-BAC0479,tssF,1
adeT2-BAC0479,hefC-BAC0188,1
adeT2-BAC0479,(AGly)aadA1-pm,1
adeT2-BAC0479,abaI,1
adeT2-BAC0479,modB-BAC0599,1
adeT2-BAC0479,amvA,1
adeT2-BAC0479,aph(3')-Ia_7,1
adeT2-BAC0479,(Bla)blaTEM-1D,1
adeT2-BAC0479,merP,1
adeT2-BAC0479,blaOXA-23_1,1
adeT2-BAC0479,hmrM-BAC0189,1
adeT2-BAC0479,csuC,1
