Gene1,Gene2,Count
ADER,APH3-DPRIME,1
ADER,adeN-BAC0496,1
ADER,abaR,1
ADER,abeS-BAC0002,1
ADER,fecE-BAC0164,1
ADER,modB-BAC0610,1
ADER,armA,1
ADER,basD,1
ADER,vgrG/tssI,1
ADER,pseB,1
ADER,pilG,1
ADER,adeL,1
ADER,AAC(6')-Iaf,1
ADER,LpsB,1
ADER,fimT,1
ADER,ACICU_RS00400,1
ADER,hmrR-BAC0190,1
ADER,csuE,1
ADER,pilI,1
ADER,bauC,1
ADER,tviB,1
ADER,ruvB-BAC0293,1
ADER,pilB,1
ADER,pseH,1
ADER,nikE-BAC0274,1
ADER,merR-BAC0689,1
ADER,MSRE,1
ADER,vceA-BAC0418,1
ADER,pilH,1
ADER,pgaC,1
ADER,pilU,1
ADER,ADET2,1
ADER,chrA-BAC0026,1
ADER,pcoA-BAC0303,1
ADER,blt-BAC0050,1
ADER,mph(E)_1,1
ADER,gspM,1
ADER,smeF-BAC0360,1
ADER,adeT1-BAC0478,1
ADER,ACICU_RS00405,1
ADER,ACICU_RS00395,1
ADER,csuD,1
